timestamp,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,e11,e12,e13,e01_pre,e01_pre_dev,e01_pre_dev_rate,e02_pre,e02_pre_dev,e02_pre_dev_rate,e03_pre,e03_pre_dev,e03_pre_dev_rate,e04_pre,e04_pre_dev,e04_pre_dev_rate,e05_pre,e05_pre_dev,e05_pre_dev_rate,e07_pre,e07_pre_dev,e07_pre_dev_rate,e08_pre,e08_pre_dev,e08_pre_dev_rate,e09_pre,e09_pre_dev,e09_pre_dev_rate,e10_pre,e10_pre_dev,e10_pre_dev_rate,e11_pre,e11_pre_dev,e11_pre_dev_rate,e12_pre,e12_pre_dev,e12_pre_dev_rate,e13_pre,e13_pre_dev,e13_pre_dev_rate
1538176200000,5461.81,37.28,1316.13,9227.09,378.59,8107.55,911.84,110168.08,4578.26,1129559.43,22968.98,6816.87,2051.0,5464.78179126,-2.97179125602,-0.000543807853549,19.7156916947,17.5643083053,0.890879639293,800.522487065,515.607512935,0.64408873113,9793.83666025,-566.746660247,-0.0578676855565,273.533357547,105.056642453,0.384072507262,355.044336788,556.795663212,1.5682426264,57921.9163982,52246.1636018,0.902010272634,5089.43428912,-511.174289116,-0.100438331665,647047.809381,482511.620619,0.745712470738,81839.14783,-58870.16783,-0.719339941714,20003.3720283,-13186.5020283,-0.659213957009,482.089277305,1568.91072269,3.25439871109
1538230200000,16532.21,43.1,2051.01,263704.53,760.31,16247.11,1895.15,162259.27,14567.79,2027530.25,104994.9,388078.07,2309.33,16960.3183449,-428.108344921,-0.025241763522,61.0656347657,-17.9656347657,-0.294202047267,2488.70181417,-437.69181417,-0.175871537393,28377.8142693,235326.715731,8.29263006297,734.461956283,25.8480437171,0.0351931689531,2807.19408468,-912.044084675,-0.324895271636,220836.186446,-58576.9164463,-0.265250534294,15218.4853051,-650.695305145,-0.0427569033382,1679719.89007,347810.359929,0.207064500447,118784.633844,-13789.7338439,-0.116090216366,84738.6605727,303339.409427,3.57970502929,2126.8826123,182.447387703,0.0857815972767
1538250300000,3488.49,22.13,318.27,7582.78,260.02,6366.71,214.18,78841.12,3417.22,245869.01,44640.74,20383.34,529.62,14046.7660532,-10558.2760532,-0.751651733446,45.1175041646,-22.9875041646,-0.509503009757,1491.39334977,-1173.12334977,-0.786595534941,28779.114153,-21196.334153,-0.736517949799,677.055446091,-417.035446091,-0.615954643743,1576.40373993,-1362.22373993,-0.864133790998,168301.862818,-89460.7428182,-0.531549332373,12413.917975,-8996.69797501,-0.724726713445,1218104.3923,-972235.382305,-0.798154401582,145018.369485,-100377.629485,-0.692171825138,129319.821294,-108936.481294,-0.842380388435,2068.64856916,-1539.02856916,-0.743977779553
1538252400000,3547.37,14.54,260.83,8973.67,225.15,6274.03,148.5,86381.12,3330.17,220490.26,50914.12,20531.52,405.45,13460.4803444,-9913.11034436,-0.736460370711,42.8733261594,-28.3333261594,-0.660861395592,1341.53105419,-1080.70105419,-0.805572894354,27961.9771013,-18988.3071013,-0.679075983523,660.178427468,-435.028427468,-0.658955835829,1372.50017306,-1224.00017306,-0.891803292331,160317.398167,-73936.2781672,-0.461186864386,11885.702542,-8555.53254202,-0.71981715105,1141710.98024,-921220.720243,-0.806877341275,145389.319426,-94475.1994258,-0.649808388944,129902.061468,-109370.541468,-0.84194615722,2005.36056581,-1599.91056581,-0.797816907886
1538262600000,5157.11,37.2,1198.34,9228.46,260.3,6778.56,861.59,185757.55,4667.36,1106074.34,32697.74,14192.25,716.58,7959.26457658,-2802.15457658,-0.352061996384,28.099805826,9.10019417399,0.323852564332,841.564143019,356.775856981,0.423943748009,19316.2491885,-10087.7891885,-0.522243686652,408.738070065,-148.438070065,-0.363161841131,714.484837191,147.105162809,0.205889831599,101743.908302,84013.6416977,0.82573633252,7069.96973727,-2402.60973727,-0.339833100643,818406.721274,287667.618726,0.351497136141,96605.2994974,-63907.5594974,-0.661532647069,78568.3156151,-64376.0656151,-0.819364206947,1075.35046863,-358.77046863,-0.333631201265
1538292900000,64310.72,45.39,2826.58,68979.71,551.28,10077.84,3136.64,355339.21,66764.92,1572487.87,27223.09,13484.72,1267.82,11359.6682509,52951.0517491,4.6613202586,48.9418776963,-3.55187769629,-0.0725733842565,2386.15543232,440.424567683,0.184574970146,18510.2634329,50469.4465671,2.72656554836,397.938994418,153.341005582,0.38533797324,2339.87538063,796.764619368,0.340515835143,157652.298905,197686.911095,1.25394245735,10483.3460139,56281.5739861,5.36866511047,1444974.6336,127513.236402,0.0882460033809,33084.939652,-5861.84965198,-0.177175769811,15694.9971991,-2210.27719915,-0.140826861649,1087.14794135,180.672058651,0.166189027067
1538294700000,34113.37,43.84,42989.91,88034.06,534.74,13261.11,19660.14,278997.9,28663.9,1544580.87,89646.85,19674.19,1347.64,12345.6206768,21767.7493232,1.76319602659,49.7795987987,-5.93959879866,-0.119317932286,2497.47472639,40492.4352736,16.2133513688,19717.4678824,68316.5921176,3.46477511844,410.724842224,124.015157776,0.301942188605,2487.1801003,17172.9598997,6.90459042255,166776.60139,112221.29861,0.672883951796,11434.2556041,17229.6443959,1.50684443242,1501517.71765,43063.1523508,0.0286797497256,33525.4177957,56121.4322043,1.67399650457,15908.3839916,3765.80600836,0.236718324774,1139.7256714,207.914328596,0.182424888561
1538305500000,14966.85,62.72,2439.79,24612.05,659.88,10271.72,3249.21,206933.97,13509.44,1477587.3,341089.5,50195.58,2323.53,14136.0507769,830.799223111,0.058771663757,52.8398496415,9.88015035848,0.186982938549,3060.86919122,-621.079191215,-0.20290941965,22716.238906,1895.81109399,0.083456205133,444.454955787,215.425044213,0.484694886193,3126.30623647,122.903763526,0.0393127717598,188562.670809,18371.2991913,0.0974280811386,13028.8774286,480.562571425,0.0368844187889,1544664.9074,-67077.6073995,-0.0434253455738,35606.427772,305483.072228,8.57943611147,19786.4179416,30409.1620584,1.53687050117,1328.45303922,995.076960783,0.749049406646
1538312700000,24745.87,59.62,2330.32,38340.65,987.67,28676.13,3663.39,226993.9,22205.72,2857627.63,154110.26,188171.22,2894.23,15075.6922166,9670.17778342,0.641441709242,56.4169587243,3.20304127573,0.0567744406675,3003.62582033,-673.305820328,-0.224164346894,24488.1832888,13852.4667112,0.565679640172,525.262228665,462.407771335,0.880336993793,3188.10968055,475.280319447,0.149079036504,196766.066747,30227.8332528,0.153623202174,13721.9895887,8483.73041135,0.618258041703,1556476.3197,1301151.3103,0.835959592725,58866.5721516,95243.6878484,1.61795878998,44017.3173557,144153.902644,3.27493612296,1651.16627009,1243.06372991,0.752839827476
1538316900000,7767.22,34.22,1511.18,13001.38,440.61,5436.22,1301.63,86684.6,6924.77,1570055.35,35139.01,18930.38,1066.8,15143.2720437,-7376.05204375,-0.487084430791,55.6136604347,-21.3936604347,-0.384683551981,2889.45828477,-1378.27828477,-0.477002312867,24604.6719514,-11603.2919514,-0.471588971977,553.726729311,-113.116729311,-0.204282588004,3145.86933254,-1844.23933254,-0.586241556019,192720.020766,-106035.420766,-0.550204490144,13741.7934862,-6817.02348618,-0.496079605114,1587875.78496,-17820.4349643,-0.0112228142359,66018.6768991,-30879.6668991,-0.467741377888,52902.1173459,-33971.7373459,-0.642162148705,1726.94258233,-660.142582328,-0.382260874845
