timestamp,l1,l2,l3,l4,l1_pre,l1_pre_dev,l1_pre_dev_rate,l2_pre,l2_pre_dev,l2_pre_dev_rate,l3_pre,l3_pre_dev,l3_pre_dev_rate,l4_pre,l4_pre_dev,l4_pre_dev_rate
1538176200000,2212.46,15042.43,1120794.28,163533.74,3430.17930129,-1217.71930129,-0.35500164695,21720.8017415,-6678.37174153,-0.307464329402,735549.963572,385244.316428,0.523750031279,72964.0386914,90569.7013086,1.24129232609
1538230200000,5940.01,25557.35,2753962.75,215512.92,3496.38435203,2443.62564797,0.698900750587,21684.2851313,3873.06486865,0.178611600299,1963226.35522,790736.394781,0.402773930107,196810.825014,18702.0949861,0.0950257435524
1538250300000,402.42,37528.68,346824.59,27177.94,2888.69504468,-2486.27504468,-0.860691421637,16025.1021589,21503.5778411,1.341868378,1575066.66328,-1228242.07328,-0.779803231135,138295.064292,-111117.124292,-0.803478597452
1538252400000,523.73,6652.21,353556.7,40764.09,2750.97037165,-2227.24037165,-0.809619905254,15487.0748178,-8834.86481782,-0.570466981128,1499265.28866,-1145708.58866,-0.764180026928,128525.477129,-87761.3871289,-0.682832611007
1538262600000,1997.18,12622.84,1103019.99,249987.37,2072.80215816,-75.622158158,-0.0364830564559,11663.4098714,959.430128583,0.0822598313152,1028693.57233,74326.4176687,0.072253214823,97907.9906645,152079.379336,1.55328873878
1538292900000,3196.88,18488.29,1982386.18,182424.44,2956.86417717,240.015822833,0.0811724206632,16996.4149539,1491.87504605,0.087775866269,1489659.6609,492726.519098,0.330764490729,196616.036263,-14191.5962635,-0.0721792409875
1538294700000,3190.15,18123.9,1958601.58,181632.89,3067.07072278,123.07927722,0.0401292595914,17529.9341001,593.965899859,0.0338829510976,1553110.75106,405490.828939,0.261083009478,201945.904501,-20313.0145008,-0.100586414719
1538305500000,3121.9,17650.45,1953627.84,173501.35,3199.39867166,-77.4986716556,-0.0242228867387,17835.8590091,-185.409009051,-0.0103952946116,1638294.35744,315333.482563,0.192476694516,196020.565769,-22519.2157692,-0.114881903747
1538312700000,4203.0,22747.43,3308614.04,215242.14,3172.42332386,1030.57667614,0.324854715443,18276.0666774,4471.36332262,0.24465676349,1717270.15081,1591343.88919,0.926670674644,188700.254698,26541.8853016,0.14065633003
1538316900000,3462.34,16831.1,1572537.61,155462.32,3280.65204615,181.687953854,0.0553816592855,18746.1611747,-1915.06117471,-0.102157511443,1762922.95213,-190385.342133,-0.107994136614,186175.296841,-30712.9768415,-0.164968056249
1538336100000,771.23,4833.02,300020.59,41542.05,3149.19993542,-2377.96993542,-0.75510287825,15547.4204728,-10714.4004728,-0.68914328853,1443190.64754,-1143170.05754,-0.792112989014,147717.564396,-106175.514396,-0.718773795318
1538349900000,3477.85,21979.12,1481208.05,197897.15,2317.78803339,1160.06196661,0.500503907128,11110.6850561,10868.4349439,0.978196653847,878884.643056,602323.406944,0.685327035469,101034.927,96862.2230003,0.958700380914
1538377800000,4980.86,28504.48,1967317.64,224447.65,3221.95615518,1758.90384482,0.545911787781,22584.0502379,5920.42976213,0.262150929517,1455650.02468,511667.615316,0.351504555793,173771.824839,50675.8251613,0.29162279448
1538382000000,3540.02,25944.05,2162593.55,175146.49,3545.59559165,-5.57559165128,-0.00157254021423,24799.9388488,1144.11115119,0.0461336279158,1607305.16946,555288.380542,0.345477878808,186796.958089,-11650.4680886,-0.0623696884991
1538383800000,3473.77,25684.0,3010210.09,171516.81,3610.78511511,-137.015115109,-0.0379460728738,25368.1696756,315.830324441,0.012449866446,1649582.03795,1360628.05205,0.824832000313,189034.462427,-17517.6524272,-0.0926690943138
1538385900000,1546.78,11119.89,700016.1,70755.08,3652.84818952,-2106.06818952,-0.576555082568,25842.4236945,-14722.5336945,-0.569704059825,1692339.90736,-992323.807357,-0.586361996809,189893.41987,-119138.33987,-0.627395830521
1538388000000,3520.8,33059.45,1704533.27,177482.08,3636.776474,-115.976473999,-0.0318899098771,25979.6313696,7079.81863043,0.2725142066,1687664.84844,16868.4215592,0.00999512526127,187270.263815,-9788.18381502,-0.0522676885033
1538390700000,2937.49,23627.87,1643916.23,150630.48,3645.34695895,-707.856958955,-0.194180956415,26573.8856221,-2946.01562206,-0.110861304363,1697941.2495,-54025.0195007,-0.0318179557252,185007.142115,-34376.6621145,-0.185812621727
1538393700000,5549.23,33115.18,2215617.76,271958.65,3527.41596448,2021.81403552,0.573171425167,26883.2072046,6231.97279538,0.231816566675,1680814.95492,534802.805077,0.318180656062,179747.986443,92210.663557,0.512999702426
1538396700000,6289.7,54264.81,2686000.15,324970.19,3524.91922506,2764.78077494,0.784352944963,26540.5456825,27724.2643175,1.04460038799,1668756.02755,1017244.12245,0.609582291038,177232.386533,147737.803467,0.833582430149
1538400900000,7313.02,57279.05,2935077.99,322999.09,3591.66109204,3721.35890796,1.03611081686,27294.6923505,29984.3576495,1.09854169685,1676746.91238,1258331.07762,0.750459755331,176837.452958,146161.637042,0.826531001199
1538402700000,4303.99,31453.68,2974670.79,169418.76,3659.25522197,644.734778034,0.176192896894,27722.7130311,3730.9669689,0.134581596134,1684287.4487,1290383.3413,0.766130117694,177263.914949,-7845.15494859,-0.0442569202585
1538440500000,2941.82,21662.88,1744741.23,162550.69,1608.14865933,1333.67134067,0.829320929336,11299.9756868,10362.9043132,0.917073151346,632562.598369,1112178.63163,1.75821117862,72679.5591254,89871.1308746,1.236539296
1538454000000,3052.49,29667.91,1868468.54,207859.6,2033.14254199,1019.34745801,0.501365466003,15227.8873129,14440.0226871,0.948261724713,948867.618713,919600.921287,0.969156184858,112933.976628,94925.6233716,0.840540873575
1538456100000,2678.15,21929.87,1275146.31,149956.1,2185.52556045,492.624439554,0.22540319293,16653.3280454,5276.54195456,0.316846094676,1034344.0037,240802.306296,0.23280678907,122678.492405,27277.6075952,0.222350365256
1538464200000,3310.81,24198.45,1829197.16,176455.08,2808.35542481,502.454575194,0.178914168326,21420.7176802,2777.73231975,0.129675035226,1336086.12194,493111.038059,0.369071297098,157003.208865,19451.8711352,0.123894736138
1538466300000,3201.3,23768.79,1950812.56,174636.28,2962.78363963,238.516360368,0.0805041438656,22481.2098364,1287.58016355,0.0572736152956,1414756.41103,536056.148969,0.378903495181,165166.328882,9469.95111786,0.0573358455198
1538469600000,3952.81,27856.49,2424628.4,244974.3,3135.81852374,816.991476265,0.260535317998,23742.7976067,4113.69239328,0.173260643561,1512021.43237,912606.967632,0.603567481317,174423.899488,70550.400512,0.40447668421
1538473800000,2792.34,22195.72,1818613.21,155447.03,3224.36286053,-432.022860534,-0.133987047743,24501.1528021,-2305.43280213,-0.0940948705861,1589232.32789,229380.88211,0.144334392199,180370.822686,-24923.7926865,-0.138180844968
