i15,e01,c2,p35,l3,310
i06,e10,c5,p01,l3,40912
i06,e09,c5,p16,l2,107
i06,e04,c5,p10,l1,643
i06,e01,c5,p19,l3,359
i16,e08,c5,p20,l3,2
i06,e08,c5,p18,l2,1043
i34,e01,c5,p28,l3,4
i38,e11,c1,p12,l2,186
i06,e12,c5,p02,l3,51
i46,e08,c1,p05,l3,15
i23,e08,c5,p10,l3,5
i38,e09,c1,p05,l2,80
i06,e09,c5,p18,l2,132
i38,e10,c4,p05,l3,251
i06,e10,c5,p03,l1,86
i02,e01,c1,p07,l3,68
i38,e10,c1,p04,l2,63
i38,e04,c1,p15,l1,104
i06,e01,c5,p11,l3,67
i02,e01,c1,p24,l3,16
i46,e11,c4,p35,l3,325
i38,e04,c1,p01,l1,73
i13,e08,c5,p24,l3,14
i38,e10,c4,p35,l4,26
i38,e04,c1,p18,l1,145
i38,e10,c4,p06,l4,42
i06,e10,c5,p30,l4,81
i17,e09,c5,p35,l3,3
i06,e10,c5,p25,l2,41
i38,e08,c1,p02,l2,42
i23,e03,c5,p21,l3,3
i38,e01,c4,p17,l3,1
i02,e09,c1,p23,l3,62
i41,e07,c1,p22,l3,2
i30,e04,c1,p29,l3,6
i49,e08,c1,p35,l3,2
i34,e08,c5,p24,l3,7
i34,e08,c5,p32,l3,30
i03,e08,c5,p15,l3,16
i14,e08,c5,p11,l3,38
i43,e08,c1,p19,l3,5
i38,e09,c4,p17,l2,9
i39,e01,c5,p01,l3,7
i05,e03,c1,p03,l3,3
i05,e06,c1,p19,l3,14
i06,e10,c5,p14,l2,13
i34,e04,c5,p22,l3,2
i05,e06,c1,p02,l3,2
i34,e04,c5,p12,l3,8
i12,e04,c5,p15,l3,3
i25,e03,c5,p24,l3,1
i14,e08,c3,p35,l3,1
i16,e01,c5,p19,l3,6
i43,e01,c1,p17,l3,1
i17,e09,c5,p03,l3,12
i09,e09,c5,p35,l3,9
i14,e09,c5,p19,l3,7
i23,e04,c5,p15,l3,1
i14,e05,c5,p21,l3,1
i43,e09,c1,p21,l3,4
i05,e06,c1,p08,l3,1
i46,e01,c1,p03,l3,2
i43,e03,c1,p17,l3,1
i43,e04,c1,p06,l3,1
i13,e10,c5,p10,l3,1
i38,e10,c7,p19,l3,1
i41,e12,c1,p17,l3,1
i33,e03,c1,p15,l3,1
i36,e04,c5,p35,l3,1
i42,e05,c5,p10,l3,1
i06,e08,c5,p10,l2,4043
i06,e10,c5,p29,l3,20778
i38,e10,c1,p06,l2,35
i38,e01,c1,p19,l3,222
i17,e08,c5,p19,l3,89
i06,e10,c5,p35,l4,2586
i14,e08,c5,p19,l3,166
i14,e08,c5,p24,l3,28
i06,e09,c5,p32,l2,34
i17,e09,c5,p09,l3,2
i06,e08,c5,p31,l2,69
i46,e01,c1,p35,l3,87
i38,e09,c1,p24,l2,22
i17,e04,c5,p21,l3,23
i06,e10,c5,p16,l1,87
i06,e10,c5,p24,l2,118
i38,e06,c1,p25,l3,154
i02,e09,c1,p15,l3,49
i06,e05,c5,p05,l1,27
i38,e06,c1,p35,l3,114
i30,e01,c1,p29,l3,7
i13,e08,c5,p01,l3,7
i34,e09,c5,p14,l3,7
i34,e04,c5,p01,l3,3
i06,e10,c3,p35,l3,188
i06,e10,c5,p01,l1,87
i34,e03,c5,p09,l3,42
i38,e09,c1,p23,l2,16
i38,e09,c1,p04,l2,35
i06,e10,c3,p08,l3,205
i06,e05,c5,p28,l1,2
i05,e08,c1,p18,l3,15
i46,e09,c4,p35,l3,15
i46,e11,c1,p08,l3,26
i41,e07,c1,p35,l3,15
i06,e12,c5,p31,l3,4
i02,e08,c1,p20,l3,20
i05,e01,c1,p10,l3,37
i05,e09,c1,p35,l3,34
i34,e08,c5,p15,l3,21
i38,e04,c1,p02,l1,27
i38,e09,c1,p16,l2,21
i16,e04,c5,p04,l3,1
i39,e01,c5,p24,l3,8
i17,e08,c5,p14,l3,6
i23,e03,c5,p13,l3,4
i38,e01,c1,p32,l3,12
i30,e04,c1,p24,l3,7
i05,e09,c1,p11,l3,3
i06,e09,c5,p20,l2,17
i32,e09,c5,p09,l3,1
i34,e01,c5,p14,l3,2
i07,e01,c5,p21,l3,1
i27,e09,c5,p24,l3,1
i21,e12,c1,p16,l3,1
i38,e10,c4,p11,l1,1
i23,e01,c5,p07,l3,4
i42,e02,c5,p14,l3,1
i46,e08,c1,p23,l3,2
i38,e11,c4,p35,l2,2
i42,e02,c5,p21,l3,2
i30,e01,c1,p17,l3,2
i46,e09,c1,p11,l3,2
i06,e09,c3,p19,l2,1
i38,e11,c1,p13,l2,271
i06,e10,c5,p13,l4,2461
i39,e01,c5,p35,l3,184
i06,e12,c5,p21,l3,167
i06,e09,c5,p21,l2,141
i06,e01,c5,p01,l3,150
i23,e08,c5,p07,l3,2
i34,e08,c5,p06,l3,5
i17,e08,c5,p07,l3,11
i06,e10,c5,p26,l3,2102
i43,e04,c1,p10,l3,21
i38,e11,c1,p04,l2,133
i38,e10,c1,p35,l3,463
i38,e10,c4,p17,l4,113
i06,e10,c5,p15,l2,80
i38,e09,c1,p09,l2,31
i38,e10,c1,p32,l1,5
i38,e10,c4,p08,l3,112
i38,e01,c1,p24,l3,28
i39,e09,c5,p10,l3,29
i06,e10,c5,p16,l2,69
i38,e10,c1,p23,l2,30
i05,e08,c1,p10,l3,17
i63,e08,c4,p10,l3,1320
i08,e08,c1,p35,l3,39
i06,e10,c3,p23,l4,10
i30,e09,c1,p03,l3,2
i06,e10,c3,p32,l4,4
i38,e11,c1,p20,l2,13
i09,e04,c5,p10,l3,2
i06,e07,c5,p03,l2,2
i17,e09,c5,p07,l3,4
i06,e10,c3,p25,l3,4
i38,e12,c1,p08,l3,2
i14,e08,c5,p25,l3,1
i05,e08,c1,p29,l3,7
i02,e04,c1,p18,l3,12
i17,e08,c5,p26,l3,1
i12,e04,c5,p11,l3,3
i14,e09,c5,p16,l3,3
unknown,e09,c3,p35,l3,1
i46,e05,c1,p05,l3,1
i43,e04,c1,p28,l3,3
i05,e08,c1,p07,l3,5
