i15,e09,c2,p35,l3,3151
i06,e08,c5,p20,l2,297
i06,e10,c5,p14,l3,24014
i38,e10,c1,p06,l3,4087
i06,e10,c5,p32,l3,8242
i38,e01,c1,p10,l3,478
i06,e10,c5,p12,l1,61
i17,e08,c5,p17,l3,27
i38,e10,c1,p09,l2,21
i06,e10,c5,p23,l3,13423
i06,e11,c5,p29,l2,411
i17,e04,c5,p17,l3,35
i06,e11,c5,p04,l2,296
i16,e04,c5,p24,l3,7
i12,e04,c5,p13,l3,9
i07,e12,c5,p35,l3,194
i41,e07,c1,p17,l3,6
i23,e08,c5,p10,l3,27
i07,e04,c5,p10,l3,13
i38,e01,c1,p01,l3,86
i17,e08,c3,p29,l3,10
i06,e10,c5,p21,l4,3814
i41,e01,c1,p35,l3,41
i32,e11,c5,p35,l3,282
i38,e10,c4,p11,l4,33
i39,e04,c5,p11,l3,25
i02,e04,c1,p18,l3,56
i41,e01,c1,p11,l3,11
i02,e01,c1,p13,l3,143
i23,e08,c5,p15,l3,69
i14,e13,c5,p03,l3,6
i38,e10,c4,p06,l4,23
i13,e11,c5,p19,l3,68
i05,e04,c1,p04,l3,7
i41,e04,c1,p10,l3,11
i41,e13,c1,p03,l3,3
i43,e08,c1,p12,l3,13
i13,e11,c5,p11,l3,16
i41,e01,c1,p17,l3,11
i02,e01,c1,p08,l3,20
i03,e04,c5,p15,l3,7
i17,e01,c5,p10,l3,75
i17,e08,c5,p31,l3,13
i46,e08,c1,p05,l3,5
i17,e08,c5,p02,l3,16
i34,e08,c5,p03,l3,17
i34,e01,c5,p29,l3,4
i16,e04,c5,p13,l3,9
i34,e08,c3,p23,l3,1
i38,e12,c1,p04,l3,8
i05,e06,c1,p31,l3,4
i34,e04,c5,p05,l3,15
i05,e09,c1,p17,l3,5
i43,e08,c1,p19,l3,2
i42,e02,c5,p03,l3,1
i41,e09,c1,p22,l3,8
i34,e09,c5,p35,l3,12
unknown,e01,c3,p35,l3,1
i17,e09,c5,p23,l3,7
i46,e01,c1,p13,l3,2
i46,e09,c1,p03,l3,10
i46,e11,c1,p18,l3,8
i03,e04,c5,p28,l3,1
i07,e08,c5,p29,l3,1
i116,e01,c1,p10,l3,2
i05,e12,c1,p02,l3,1
i38,e12,c4,p03,l3,1
i16,e01,c5,p07,l3,4
i05,e08,c1,p03,l3,1
i38,e08,c1,p33,l2,5
i38,e09,c1,p31,l2,1
i41,e01,c1,p08,l3,2
i26,e09,c1,p35,l3,4
i03,e01,c5,p21,l3,3
i06,e10,c3,p05,l4,2
i13,e01,c5,p21,l3,1
i23,e12,c5,p06,l3,2
i48,e11,c1,p23,l3,2
i18,e07,c1,p35,l3,1
i03,e09,c5,p18,l3,1
i39,e09,c5,p23,l3,1
i25,e03,c5,p15,l3,1
i03,e01,c5,p17,l3,1
i27,e04,c5,p16,l3,1
i17,e04,c5,p33,l3,1
i06,e12,c5,p19,l3,969
i06,e08,c5,p24,l2,1943
i06,e12,c5,p11,l3,514
i06,e11,c5,p16,l2,773
i06,e12,c5,p07,l3,237
i06,e10,c5,p10,l3,145694
i06,e10,c5,p26,l3,1847
i39,e04,c5,p02,l3,8
i06,e04,c5,p12,l1,158
i06,e04,c5,p22,l1,103
i06,e04,c5,p15,l1,204
i19,e10,c5,p10,l2,16
i16,e04,c5,p19,l3,19
i02,e01,c1,p03,l3,105
i16,e04,c5,p03,l3,5
i38,e10,c1,p28,l4,564
i38,e10,c1,p16,l1,53
i42,e05,c5,p17,l3,8
i06,e07,c5,p12,l2,3
i13,e11,c5,p15,l3,13
i38,e11,c4,p14,l2,1
i34,e03,c5,p23,l3,22
i27,e01,c5,p12,l3,7
i02,e09,c1,p29,l3,25
i01,e11,c1,p03,l3,12
i34,e04,c5,p35,l3,25
i41,e04,c1,p19,l3,4
i119,e05,c5,p35,l3,2
i01,e04,c1,p11,l3,7
i38,e11,c4,p15,l2,10
i34,e01,c5,p04,l3,5
i41,e13,c1,p10,l3,5
i63,e01,c1,p10,l3,10
i05,e04,c1,p06,l3,45
i06,e09,c5,p20,l2,10
i38,e10,c7,p02,l3,9
i17,e09,c5,p05,l3,13
i66,e09,c3,p21,l3,3
i21,e12,c1,p01,l3,2
i38,e10,c1,p02,l1,7
i12,e08,c5,p11,l3,6
i02,e09,c1,p09,l3,43
i27,e10,c5,p11,l3,11
i38,e07,c1,p16,l2,7
i41,e08,c1,p23,l3,2
i27,e04,c5,p05,l3,1
i38,e11,c4,p18,l2,2
i43,e08,c1,p23,l3,13
i48,e11,c1,p04,l3,3
i30,e09,c1,p24,l3,4
i43,e08,c1,p07,l3,14
i34,e08,c5,p20,l3,2
i05,e07,c1,p07,l3,2
i03,e04,c5,p04,l3,2
i38,e05,c1,p35,l1,4
i43,e09,c1,p19,l3,6
i46,e04,c1,p10,l3,5
i34,e09,c3,p23,l3,2
i43,e11,c1,p07,l3,2
i43,e12,c1,p08,l3,1
i46,e04,c1,p03,l3,3
i17,e01,c5,p07,l3,9
i39,e04,c5,p13,l3,8
i38,e10,c4,p21,l2,4
