i15,e04,c2,p35,l3,16
i06,e10,c5,p09,l3,5608
i38,e11,c1,p19,l2,670
i06,e10,c5,p26,l3,746
i06,e10,c5,p13,l1,67
i38,e08,c1,p21,l2,122
i38,e10,c1,p03,l2,43
i06,e01,c5,p10,l3,47
i06,e08,c5,p13,l2,173
i38,e10,c1,p04,l2,28
i38,e11,c1,p17,l2,143
i06,e04,c5,p07,l1,7
i06,e08,c5,p23,l2,291
i06,e12,c5,p18,l3,20
i06,e12,c5,p31,l3,3
i38,e04,c1,p18,l1,22
i14,e01,c5,p20,l3,6
i14,e08,c5,p32,l3,24
i38,e10,c1,p08,l2,14
i46,e08,c1,p22,l3,3
i17,e01,c5,p10,l3,6
i06,e05,c5,p14,l1,3
i38,e11,c4,p17,l2,3
i38,e11,c4,p16,l2,4
i06,e10,c3,p23,l2,2
i46,e01,c1,p12,l3,1
i38,e05,c1,p24,l1,1
i43,e09,c1,p10,l3,3
i14,e12,c5,p29,l3,1
i12,e08,c5,p10,l3,1
i06,e10,c3,p19,l3,591
i38,e10,c1,p14,l3,4980
i38,e10,c4,p04,l3,341
i38,e10,c4,p17,l3,354
i06,e10,c3,p14,l3,273
i06,e10,c5,p03,l1,52
i30,e01,c1,p15,l3,6
i38,e08,c1,p24,l2,29
i17,e11,c5,p21,l3,7
i06,e10,c3,p18,l3,5
i06,e08,c5,p17,l2,404
i38,e11,c1,p24,l2,85
i38,e11,c1,unknown,l2,1
i38,e06,c1,p05,l3,159
i38,e08,c1,p07,l2,45
i02,e04,c1,p19,l3,110
i18,e04,c1,p35,l3,1
i38,e06,c4,p16,l3,15
i02,e04,c1,p18,l3,15
i06,e01,c5,p02,l3,21
i30,e09,c1,p19,l3,6
i02,e01,c1,p01,l3,12
i38,e11,c4,p21,l2,4
i38,e01,c1,p35,l3,7
i17,e04,c5,p07,l3,2
i06,e01,c5,p06,l3,19
i42,e05,c5,p05,l3,5
i05,e04,c1,p19,l3,16
i06,e07,c5,p19,l2,1
i05,e03,c1,p11,l3,2
i34,e03,c5,p03,l3,28
i46,e08,c1,p03,l3,6
i17,e11,c5,p02,l3,2
i33,e09,c1,p19,l3,1
i34,e04,c5,p23,l3,1
i43,e11,c1,p35,l3,1
i06,e02,c5,p11,l1,1
i06,e10,c5,p21,l4,1950
i06,e10,c5,p14,l3,16576
i38,e10,c1,p09,l3,2224
i46,e08,c1,p35,l3,478
i38,e10,c1,p24,l4,881
i06,e10,c5,p20,l4,282
i38,e11,c1,p01,l2,212
i38,e06,c1,p22,l3,86
i06,e04,c5,p10,l1,112
i38,e11,c1,p07,l2,81
i02,e08,c1,p03,l3,34
i34,e03,c5,p29,l3,3
i38,e11,c1,p22,l2,29
i34,e01,c5,p35,l3,11
i38,e01,c1,p20,l3,2
i13,e08,c5,p10,l3,13
i06,e10,c5,p01,l2,40
i06,e12,c5,p16,l3,24
i05,e12,c1,p17,l3,6
i06,e12,c5,p26,l3,5
