i15,e01,c2,p35,l3,1639
i38,e10,c1,p22,l3,2603
i06,e10,c5,p16,l3,51062
i28,e08,c1,p35,l3,4920
i06,e08,c5,p29,l2,2171
i38,e11,c1,p17,l2,245
i38,e11,c1,p10,l2,1260
i06,e10,c3,p03,l3,352
i06,e10,c5,p24,l2,75
i17,e11,c5,p10,l3,544
i38,e10,c1,p22,l2,28
i02,e01,c1,p13,l3,116
i38,e11,c1,p23,l2,55
i02,e04,c1,p01,l3,319
i38,e10,c1,p06,l4,593
i06,e12,c5,p15,l3,616
i17,e11,c5,p21,l3,110
i38,e10,c1,p31,l4,65
i06,e11,c5,p28,l2,112
i06,e10,c3,p19,l4,27
i34,e08,c5,p02,l3,37
i38,e04,c1,p04,l1,15
i38,e10,c1,p03,l1,41
i46,e11,c1,p13,l3,292
i17,e09,c5,p04,l3,5
i14,e08,c5,p15,l3,161
i43,e09,c1,p07,l3,7
i39,e04,c5,p23,l3,1
i12,e01,c5,p01,l3,4
i23,e01,c5,p29,l3,2
i38,e10,c1,p14,l2,6
i14,e12,c5,p01,l3,5
i05,e08,c1,p29,l3,4
i17,e04,c5,p35,l3,23
i05,e01,c1,p22,l3,2
i34,e09,c5,p08,l3,2
i34,e08,c5,p28,l3,5
i13,e11,c5,p15,l3,5
i06,e09,c5,p25,l2,11
i06,e11,c3,p15,l2,2
i16,e01,c5,p10,l3,17
i01,e08,c1,p08,l3,12
i43,e04,c1,p35,l3,10
i14,e01,c5,p15,l3,7
i34,e08,c5,p07,l3,7
i09,e04,c5,p21,l3,2
i23,e04,c5,p31,l3,11
i38,e11,c1,p26,l2,6
i17,e04,c5,p28,l3,5
i46,e08,c1,p15,l3,4
i16,e01,c5,p12,l3,2
i13,e03,c5,p01,l3,1
i41,e04,c1,p04,l3,1
i34,e09,c5,p09,l3,2
i67,e01,c5,p07,l3,1
i41,e07,c1,p19,l3,2
i41,e01,c1,p05,l3,3
i21,e12,c1,p01,l3,1
i06,e09,c5,p20,l2,2
i06,e04,c3,p26,l1,1
i46,e09,c4,p17,l3,1
i01,e11,c1,p21,l3,2
i14,e05,c5,p01,l3,1
i43,e01,c1,p28,l3,1
i01,e04,c1,p29,l3,1
i27,e08,c5,p24,l3,1
i06,e10,c5,p24,l3,25264
i38,e10,c1,p35,l3,710
i46,e11,c1,p29,l3,675
i38,e10,c1,p15,l4,1919
i06,e10,c5,p04,l4,1403
i06,e10,c5,p13,l4,1708
i38,e10,c1,p03,l4,2598
i38,e10,c1,p31,l3,594
i38,e10,c1,p29,l4,609
i06,e08,c5,p24,l2,1391
i06,e01,c5,p15,l3,93
i38,e10,c4,p03,l3,325
i34,e03,c5,p09,l3,15
i38,e04,c1,p11,l1,67
i46,e04,c1,p32,l3,2
i38,e10,c4,p24,l3,130
i17,e11,c5,p23,l3,30
i06,e10,c5,p30,l1,6
i02,e04,c1,p22,l3,26
i39,e04,c5,p15,l3,70
i02,e08,c1,p35,l3,223
i38,e12,c1,p04,l3,15
i34,e01,c5,p01,l3,9
i17,e08,c5,p01,l3,131
i39,e04,c5,p18,l3,63
i38,e09,c4,p08,l2,1
i38,e11,c4,p10,l2,24
i06,e12,c5,p18,l3,299
i17,e08,c5,p21,l3,26
i41,e08,c1,p03,l3,12
i46,e06,c4,p35,l3,1
i38,e08,c1,p29,l2,48
i06,e11,c5,p31,l2,78
i06,e07,c5,p19,l2,5
i34,e04,c5,p12,l3,9
i38,e08,c7,p10,l2,6
i38,e10,c1,p26,l2,7
i03,e08,c5,p03,l3,1
i38,e10,c4,p13,l4,5
i34,e04,c5,p26,l3,3
i23,e11,c5,p04,l3,3
i38,e07,c1,p21,l2,2
i27,e04,c5,p12,l3,2
i41,e08,c1,p01,l3,4
i16,e04,c5,p15,l3,10
i07,e08,c5,p16,l3,55
i30,e01,c1,p13,l3,10
i38,e10,c4,p05,l1,1
i01,e08,c1,p01,l3,27
i13,e08,c5,p35,l3,38
i06,e10,c5,p02,l2,10
i06,e08,c3,p02,l2,1
i02,e11,c1,p08,l3,2
i13,e03,c5,p14,l3,1
i05,e03,c1,p01,l3,1
i30,e01,c1,p14,l3,2
i85,e04,c5,p12,l1,2
i06,e02,c5,p15,l1,3
i07,e09,c5,p35,l3,6
i12,e09,c5,p11,l3,1
i43,e01,c1,p22,l3,1
i46,e08,c1,p04,l3,1
i14,e11,c5,p14,l3,1
i38,e06,c1,p19,l3,2
i06,e09,c5,p31,l2,1
i39,e01,c5,p29,l3,1
i23,e03,c5,p03,l3,1
i38,e10,c1,p18,l3,6834
i06,e10,c5,p13,l3,27542
i38,e10,c1,p14,l3,4085
i46,e11,c1,p04,l3,211
i06,e01,c5,p11,l3,85
i06,e10,c5,p30,l3,699
i46,e08,c1,p35,l3,2651
i02,e01,c1,p24,l3,19
i46,e01,c4,p35,l3,90
i17,e11,c5,p24,l3,48
i06,e10,c5,p09,l4,995
i38,e10,c1,p07,l2,53
i46,e11,c4,p19,l3,630
i01,e01,c1,p35,l3,27
i41,e04,c1,p12,l3,15
i38,e10,c1,p26,l3,163
i17,e08,c5,p02,l3,34
i30,e01,c1,p19,l3,11
i38,e08,c1,p02,l2,22
i05,e07,c1,p35,l3,16
i06,e11,c5,p18,l2,238
i06,e09,c5,p28,l2,40
i14,e04,c5,p03,l3,6
i34,e09,c5,p03,l3,22
i46,e09,c1,p29,l3,7
i14,e04,c5,p19,l3,29
i06,e04,c5,p02,l1,52
i14,e08,c5,p10,l3,95
i06,e10,c5,p12,l2,29
i38,e10,c1,p25,l2,22
i46,e11,c4,p05,l3,9
i06,e10,c3,p10,l4,18
i17,e11,c5,p06,l3,33
i46,e01,c4,p19,l3,8
i05,e12,c1,p29,l3,7
i12,e04,c5,p10,l3,6
i14,e09,c5,p21,l3,6
i05,e04,c1,p07,l3,5
i17,e04,c5,p22,l3,27
i14,e08,c5,p32,l3,61
i17,e08,c5,p23,l3,37
i38,e04,c1,p25,l1,3
i38,e10,c1,p28,l2,15
i41,e11,c1,p20,l3,6
i03,e10,c5,p19,l3,6
i17,e09,c5,p25,l3,3
i06,e09,c5,p14,l2,24
i06,e08,c5,p30,l2,5
i38,e01,c4,p07,l3,4
i12,e04,c5,p14,l3,1
i43,e01,c1,p07,l3,2
i34,e01,c5,p32,l3,2
i06,e04,c3,p19,l1,2
i41,e01,c1,p13,l3,1
unknown,e01,c1,p35,l3,2
i46,e06,c4,p03,l3,1
i38,e01,c1,unknown,l3,2
i46,e04,c4,unknown,l3,2
i30,e01,c1,p11,l3,2
i06,e11,c3,p19,l2,2
i14,e09,c5,p25,l3,1
i41,e09,c1,p13,l3,1
i14,e09,c5,p13,l3,1
i43,e09,c1,p05,l3,1
i23,e04,c5,p25,l3,1
i06,e10,c5,p21,l4,2813
i38,e10,c1,p10,l4,9494
i14,e12,c5,p05,l3,7435
i17,e11,c5,p32,l3,33
i38,e10,c1,p25,l4,300
i38,e10,c1,p01,l2,103
i06,e10,c5,p32,l1,25
i38,e10,c1,p23,l4,359
i17,e11,c5,p08,l3,26
i46,e11,c1,p17,l3,400
i17,e04,c5,p23,l3,36
i02,e04,c1,p13,l3,113
i21,e03,c1,p19,l3,6
i38,e10,c1,p24,l1,20
i06,e01,c5,p07,l3,77
i06,e04,c5,p14,l1,142
i17,e04,c5,p05,l3,53
i34,e08,c5,p01,l3,59
i06,e04,c5,p08,l1,111
i06,e01,c5,p35,l3,80
i17,e01,c5,p21,l3,14
i05,e03,c1,p24,l3,1
i06,e08,c3,p10,l2,20
i05,e04,c1,p10,l3,19
i34,e04,c5,p05,l3,25
i27,e09,c5,p18,l3,1
i38,e12,c1,p29,l3,236
i38,e10,c4,p23,l3,10
i02,e08,c1,p12,l3,62
i46,e01,c4,p17,l3,5
i05,e03,c1,p29,l3,2
i38,e08,c1,p08,l2,79
i17,e11,c5,p15,l3,17
i34,e04,c5,p07,l3,7
i01,e08,c1,p31,l3,30
i34,e03,c3,p24,l3,7
i88,e01,c1,p35,l3,7
i23,e08,c5,p01,l3,4
i01,e01,c1,p01,l3,1
i14,e04,c5,p07,l3,7
i01,e08,c1,p14,l3,7
i48,e08,c1,p02,l3,12
i17,e08,c5,p26,l3,10
i46,e04,c1,p12,l3,3
i46,e01,c1,p02,l3,6
i03,e09,c5,p18,l3,2
i16,e04,c5,p22,l3,2
i06,e12,c3,p35,l3,2
i03,e04,c5,p18,l3,1
i61,e04,c1,p35,l3,3
i38,e09,c1,p30,l2,8
i31,e12,c1,p35,l3,1
i38,e10,c4,p35,l3,3
i27,e01,c5,p19,l3,1
i38,e11,c4,p21,l2,3
i14,e11,c3,p08,l3,1
i41,e12,c1,p15,l3,1
i38,e11,c4,p25,l2,1
i38,e05,c1,p05,l1,1
i67,e10,c5,p17,l3,2
i17,e09,c5,p31,l3,5
i14,e02,c5,p05,l3,1
i13,e03,c5,p19,l3,1
i49,e01,c1,p33,l3,1
i42,e02,c5,p13,l3,1
i43,e04,c1,p13,l3,1
i46,e01,c1,p17,l3,8
i06,e08,c5,p15,l2,4371
i06,e10,c5,p07,l4,2401
i38,e09,c1,p01,l2,63
i38,e11,c1,p18,l2,111
i06,e12,c5,p05,l3,553
i06,e10,c5,p30,l4,48
i17,e01,c5,p04,l3,8
i07,e12,c5,p10,l3,26
i06,e09,c5,p07,l2,67
i38,e01,c1,p17,l3,63
i05,e03,c1,p13,l3,2
i17,e04,c5,p07,l3,16
i06,e10,c5,p04,l1,29
i39,e04,c5,p08,l3,22
i03,e04,c5,p16,l3,3
i06,e12,c5,p04,l3,273
i02,e01,c1,p14,l3,80
i06,e04,c5,p09,l1,81
i46,e01,c1,p10,l3,8
i13,e03,c5,p05,l3,2
i17,e04,c5,p12,l3,29
i01,e08,c1,p22,l3,3
i38,e01,c1,p07,l3,35
i17,e08,c5,p13,l3,31
i06,e10,c5,p07,l1,43
i06,e10,c5,p28,l1,25
i14,e01,c5,p16,l3,2
i06,e07,c5,p03,l2,12
i38,e09,c1,p02,l2,16
i06,e09,c5,p16,l2,75
i49,e10,c1,p33,l3,48
i41,e04,c1,p16,l3,7
i66,e04,c3,p24,l3,7
i46,e01,c1,unknown,l3,6
i29,e09,c5,p02,l3,2
i42,e05,c5,p16,l3,4
i17,e09,c5,p01,l3,27
i17,e09,c5,p22,l3,4
i39,e04,c5,p04,l3,24
i06,e10,c3,p08,l3,8
i23,e08,c5,p15,l3,3
i17,e08,c5,p22,l3,13
i46,e09,c1,p02,l3,9
i17,e01,c5,p08,l3,3
i23,e04,c5,p04,l3,3
