i06,e08,c5,p17,l2,1071
i38,e01,c1,p20,l3,2
i13,e08,c5,p19,l3,67
i06,e11,c5,p17,l2,210
i16,e11,c5,p10,l3,5
i17,e08,c5,p24,l3,10
i06,e04,c5,p24,l1,71
i05,e08,c1,p11,l3,1
i38,e09,c4,p11,l2,1
i02,e09,c1,p10,l3,74
i39,e01,c5,p17,l3,2
i42,e05,c5,p29,l3,1
i38,e12,c1,p13,l3,10
i21,e01,c1,p24,l3,1
i47,e01,c1,p10,l3,3
i12,e08,c5,p32,l3,5
i38,e08,c4,p19,l2,2
i38,e06,c1,p12,l3,331
i14,e08,c5,p24,l3,11
i38,e12,c1,p15,l3,2
i06,e09,c5,p16,l2,52
i43,e09,c1,p09,l3,2
i17,e04,c5,p05,l3,11
i06,e07,c5,p11,l2,4
i38,e07,c1,p17,l2,1
i02,e01,c4,p18,l3,1
i14,e08,c5,p03,l3,31
i16,e01,c5,p10,l3,3
i14,e08,c5,p19,l3,24
i46,e01,c1,p19,l3,3
i02,e08,c1,p17,l3,46
i05,e12,c1,p17,l3,2
i16,e01,c5,p16,l3,3
i46,e09,c1,p19,l3,7
i30,e09,c1,p03,l3,5
i10,e02,c3,p13,l3,1
i38,e06,c1,p29,l3,95
i14,e12,c5,p16,l3,360
i34,e09,c5,p15,l3,2
i38,e08,c4,p13,l2,18
i06,e10,c3,p15,l3,129
i06,e10,c3,p15,l4,19
i14,e08,c3,p32,l3,1
i46,e01,c4,p35,l3,1
i38,e10,c7,p12,l3,4
i38,e10,c7,p12,l4,2
i46,e09,c1,p15,l3,2
i06,e12,c5,p25,l3,19
i38,e10,c7,p12,l2,4
i34,e04,c5,p09,l3,21
i39,e09,c5,p25,l3,2
i38,e06,c7,p32,l3,4
i14,e04,c5,p22,l3,2
i23,e04,c5,p10,l3,6
i38,e04,c7,p13,l1,40
i13,e11,c5,p35,l3,28
i06,e12,c5,p31,l3,3
i39,e04,c5,p15,l3,1
i38,e08,c1,p22,l2,6
i38,e11,c7,p13,l2,2
i06,e04,c5,p01,l1,104
i06,e09,c5,p25,l2,9
i47,e01,c1,p35,l3,172
i38,e04,c1,p10,l1,227
i34,e08,c5,p12,l3,26
i14,e08,c5,p17,l3,26
i39,e09,c5,p18,l3,6
i17,e04,c5,p09,l3,10
i02,e08,c1,p32,l3,1
i38,e11,c1,p16,l2,58
i34,e04,c5,p12,l3,14
i06,e10,c3,p30,l3,40
i06,e12,c5,p22,l3,20
i41,e01,c1,p35,l3,2
i06,e10,c3,p30,l4,27
i31,e08,c1,p35,l3,1
i06,e12,c5,p15,l3,414
i06,e04,c5,p31,l1,4
i38,e11,c4,p23,l2,1
i23,e08,c5,p08,l3,2
i05,e04,c1,p05,l3,6
i06,e04,c5,p05,l1,134
i38,e10,c1,p13,l1,12
i12,e01,c5,p11,l3,5
i38,e04,c1,p21,l1,17
i05,e04,c1,p35,l3,3
i17,e09,c5,p35,l3,1
i38,e10,c1,p13,l3,5313
i38,e10,c1,p13,l2,190
i06,e04,c5,p35,l1,123
i38,e10,c1,p13,l4,1557
i23,e09,c5,p28,l3,1
i06,e10,c5,p16,l4,2131
i06,e10,c5,p16,l3,21004
i06,e10,c5,p16,l2,32
i06,e10,c5,p16,l1,53
i17,e11,c5,p11,l3,2
i22,e05,c5,p03,l3,3
i25,e10,c5,p15,l4,3
i38,e01,c4,p10,l3,5
i06,e10,c5,p35,l2,24
i06,e10,c5,p35,l1,21
i13,e03,c5,p19,l3,1
i06,e10,c5,p35,l4,1222
i06,e10,c5,p35,l3,8113
i33,e03,c1,p12,l3,1
i43,e08,c1,p10,l3,10
i38,e10,c1,p11,l1,15
i38,e10,c1,p11,l2,47
i38,e04,c4,p13,l1,1
i06,e01,c5,p11,l3,50
i38,e10,c1,p11,l3,8534
i38,e10,c1,p11,l4,1823
i38,e01,c1,p17,l3,32
i46,e08,c1,p01,l3,10
i38,e12,c1,p03,l3,1
i34,e05,c5,p09,l3,1
i34,e08,c5,p15,l3,24
i38,e09,c1,p08,l2,2
i13,e04,c5,p19,l3,1
i23,e08,c3,p07,l3,2
i07,e01,c5,p35,l3,7
i17,e01,c5,p31,l3,2
i06,e01,c5,p19,l3,51
i38,e05,c1,p08,l1,1
i06,e01,c5,p15,l3,76
i17,e11,c5,p13,l3,6
i38,e01,c1,p01,l3,26
i38,e10,c4,p23,l4,13
i06,e12,c5,p10,l3,542
i38,e10,c4,p23,l3,74
i06,e09,c5,p24,l2,21
i06,e01,c5,p06,l3,29
i34,e09,c5,p06,l3,3
i06,e10,c5,p12,l4,1815
i12,e04,c5,p13,l3,3
i06,e10,c5,p12,l1,30
i34,e08,c5,p03,l3,14
i06,e10,c5,p12,l2,30
i06,e10,c5,p12,l3,19618
i06,e02,c5,p18,l1,1
i05,e01,c1,p12,l3,2
i13,e08,c5,p10,l3,13
i03,e10,c5,p22,l3,2
i06,e01,c5,p28,l3,25
i23,e04,c5,p32,l3,5
i06,e08,c5,p32,l2,152
i06,e01,c5,p22,l3,10
i67,e04,c5,p10,l3,5
i34,e04,c5,p13,l3,2
i06,e12,c5,p29,l3,117
i16,e08,c5,p07,l3,3
i12,e08,c5,p16,l3,5
i14,e12,c5,p25,l3,1
i02,e01,c1,p15,l3,15
i39,e01,c5,p11,l3,1
i14,e08,c3,p05,l3,1
i38,e11,c4,p11,l2,3
i06,e04,c5,p18,l1,55
i06,e11,c5,p35,l2,762
i03,e09,c5,p07,l3,1
i38,e11,c1,p11,l2,214
i34,e01,c5,p17,l3,3
i17,e01,c5,p05,l3,1
i17,e09,c5,p16,l3,1
i38,e11,c4,p08,l2,2
i17,e08,c5,p12,l3,3
i38,e01,c1,p05,l3,14
i06,e04,c5,p23,l1,16
i38,e09,c1,p23,l2,1
i38,e10,c1,p20,l2,10
i38,e10,c1,p20,l3,581
i38,e10,c1,p20,l4,109
i42,e05,c5,p17,l3,5
i02,e09,c1,p19,l3,60
i06,e08,c5,p05,l2,1439
i38,e01,c1,p32,l3,13
i34,e04,c5,p18,l3,6
i17,e01,c5,p10,l3,33
i34,e03,c5,p32,l3,1
i06,e01,c5,p09,l3,24
i02,e08,c1,p06,l3,1
i06,e11,c5,p06,l2,310
i14,e04,c5,p11,l3,1
i13,e08,c5,p04,l3,1
